User,date,Type,Sample ID,spec #'s,d13C (vpdb),d13C_stdev,d18O_gas (vsmow),d18O_mineral (vpdb),d18O_stdev,d47,d47_stdev,D47 (v. Oz),D47_stdev,D47_sterr,d48,d48_stdev,D48,D48_stdev
,,,LB-001_07,531,-6.61471536,0.001672434,40.7864982,1.407778998,0.008365834,12.81047989,0.044297827,0.080710814,0.039406272,0.013135424,50.6036324,0.306964208,19.07725263,0.295200591
,,,BOC DIW,541,-10.8830164,0.001618629,24.93210391,-13.84675572,0.003636301,-7.199069518,0.026295365,-0.082551831,0.023781535,0.007927178,-0.476310352,0.457762434,-0.243464333,0.455030756
,,,eBOC 25degC,551,-10.53987238,0.002246475,59.75924589,19.66268253,0.006369568,28.12242856,0.027729309,0.480839195,0.028438815,0.009479605,113.4576924,0.233707374,41.72454824,0.210176578
,,,eBOC,561,-10.86627504,0.002622145,57.06238731,17.06786106,0.00541622,24.23572216,0.024949667,-0.391644819,0.02573133,0.00857711,103.8299774,0.423491278,37.99286654,0.390641504
,,,BOC,571,-10.82851469,0.003827129,30.3227255,-8.660091208,0.007860235,-2.575140352,0.035300076,-0.835203456,0.042582457,0.014194152,16.48601361,0.560561193,6.112314992,0.545400738
,,,CIT Carrara,580,2.107861948,0.002107113,37.40262922,-1.848059473,0.00463502,17.69006579,0.034264594,-0.211323977,0.032135753,0.010711918,39.47759441,0.436131784,14.86913832,0.420413163
,,,H-2473,589,-22.63333219,0.002420168,32.62734636,-6.442666922,0.00687879,-11.54847705,0.020736906,-0.595349099,0.017764341,0.005921447,24.269187,0.345403967,9.300178923,0.344869039
,,,13540,598,0.042301823,0.003411109,30.63500637,-8.359625656,0.004519036,8.860469219,0.031945895,-0.268432869,0.030596826,0.010198942,17.96007533,0.35531342,6.956301708,0.344509794
,,,TV03,607,3.359346138,0.003304066,30.56943644,-8.422714709,0.00457057,12.24451651,0.027037384,-0.044205563,0.029109093,0.009703031,17.78002591,0.365261547,6.904734045,0.355226767
,,,BOC 25degC,617,-10.50519938,0.003488853,28.13309046,-10.76688023,0.009232815,-3.649041344,0.033935983,-0.059002854,0.030842913,0.010280971,10.21884738,0.192912369,4.172331179,0.18044079
